DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
0,Sunday,10AM,8PM,11MFF-0191,11 MARINA BLVD,"Pushcart located on the Laguna St sidewalk frontage, 12 linear feet South of the Marina Blvd / Laguna St crosswalk.","Kettle Corn, Shaved Ice, Soft Pretzels, Churros, Beverages",342374,6844,10:00,20:00,8701000,12/05/2011 09:09:42 AM,12/05/2011 09:10:20 AM,0446,003,N,Gourmet Kettle Corn,6003458.01553,2121393.38715,37.8051366970446,-122.432295848298,
0,Sunday,10AM,8PM,14MFF-0051,298 KING ST,"Push cart located on the 4th Street Side approximately 40LF NW of the fire hydrant at the King/4th St intersection, closer to the third tree.  Not to block the pathway of the exit door of the building.","Gyros, Kebobs, refreshments and dessert",526305,68401,10:00,20:00,267001,10/06/2011 12:52:26 PM,,8702,606,N,"Kabob Trolley, LLC",6014275.8959,2110708.71965,37.7764065244709,-122.394110513855,
0,Sunday,10AM,8PM,14MFF-0040,455 MARKET ST,Pushcart located on the South side of Market St. 125 west of Fremont St. (between bike rack and MUNI support pole),"Gyros, Kebabs, soft drinks, and water",526175,68268,10:00,20:00,8741101,09/29/2011 03:29:01 PM,09/29/2011 03:29:25 PM,3709,012,N,"Halal Cart, LLC",6013071.49353,2116142.24317,37.7912587083087,-122.398658299327,
0,Sunday,10AM,8PM,11MFF-0175,901 MARKET ST,Pushcart located on the Market St sidewalk frontage approximately 5LF East of the Western property line.,"Kebab, Halal Gyros, Grilled Halal Meat, Beverages",334914,5770,10:00,20:00,8748101,09/26/2011 01:04:01 PM,09/26/2011 01:05:36 PM,3704,001,N,Halal Cart,6010316.03704,2113536.07269,37.7839488842882,-122.408008279363,
0,Sunday,10AM,9PM,14MFF-0025,1020 03RD ST,West side of 3rd St 10am-8:30pm,"Sunflower seeds, crackerjacks, bottled water, peanuts, candy",525993,68056,10:00,21:00,184001,06/20/2011 10:45:38 AM,06/20/2011 10:46:07 AM,8714,002,N,Got Snacks,6015443.07217,2110503.61845,37.7759081654088,-122.390058556767,
0,Sunday,10AM,9PM,13MFF-0112,2101 CARROLL AVE,10:00am-9:00pm,"Tacos, Burritos , Tortas, Quesadillas & Beverages",453012,58354,10:00,21:00,3742000,10/25/2011 08:51:46 AM,10/25/2011 08:52:10 AM,5436,012,N,Tacos Santana,6011435.03753,2093950.28359,37.7302332323588,-122.402759048478,
0,Sunday,10PM,12AM,13MFF-0114,3091 16TH ST,Push cart located on the sidewalk fronting 3091 16th St. a minimum clearance of 6' east from the existing newstand,Pupusas,456842,58478,22:00,24:00,731000,06/25/2013 09:31:03 AM,11/07/2013 02:58:08 PM,3569,049,N,Panchita's No. 2,6006247.97438,2106674.44419,37.7648798999969,-122.421594806498,
0,Sunday,11AM,10PM,14MFF-0070,Assessors Block 8711/Lot021,West side of 4th St btw China Basin and Mission Bay North,"Italian subs, Cuban sandwich, Gyro",528311,71998,11:00,22:00,0,05/24/2011 09:28:55 AM,12/23/2011 04:23:38 PM,8711,021,N,Subs on Hubs,6014914.89374,2108873.14738,37.7714019465879,-122.391771646847,
0,Sunday,11AM,2PM,14MFF-0014,34 ELLIS ST,In front of 34 Ellis Street entrance way,Indian Street Food,521808,58820,11:00,14:00,5169000,03/07/2011 10:40:49 AM,01/27/2012 03:21:56 PM,0307,008,N,"VK Industries, Inc.",6010754.54372,2114169.10049,37.7857115703107,-122.406535822182,
0,Sunday,11AM,5PM,13MFF-0112,1700 JERROLD AVE,11:30am-5:00pm,"Tacos, Burritos , Tortas, Quesadillas & Beverages",453013,58347,11:00,17:00,7498000,10/25/2011 08:53:10 AM,10/25/2011 08:53:27 AM,5262,009,N,Tacos Santana,6014824.34611,2097412.82042,37.7399293110874,-122.391283611001,
0,Sunday,11AM,5PM,14MFF-0106,425 HAYES ST,100 LF west from the NW corner of Linden and Gough Streets,Hot Dogs,552074,736317,11:00,17:00,6816000,03/08/2011 11:23:41 AM,09/26/2011 08:57:42 AM,0817,025,N,Let's Be Frank,6005824.92571,2111016.50391,37.7767782913255,-122.423366722161,
0,Sunday,11AM,6PM,14MFF-0006,120 ELLIS ST,19 LF west of NW corner of Powell and Ellis Streets,"Filipino fusion food: taco, burrito, nachos, rice plates",519467,58694,11:00,18:00,5170000,03/08/2011 08:29:15 AM,03/08/2011 08:30:29 AM,0326,005,N,Senor Sisig,6010270.17694,2114102.72981,37.7855022223973,-122.408206918155,
0,Sunday,11AM,7PM,14MFF-0043,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,Kettle Corn,526187,68275,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.7856812513257,-122.405778850215,
0,Sunday,11AM,7PM,14MFF-0041,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,Kettle Corn,564699,736677,11:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.7849061488879,-122.407072991554,
0,Sunday,11AM,9PM,14MFF-0056,532 MARKET ST,"Push cart located on Market St curbside along the concrete pillars, east of the Sutter St and Sansome St intersection.",Creme Brulee,526417,70700,11:00,21:00,8742201,10/25/2011 11:38:11 AM,10/25/2011 11:39:03 AM,0290,012,N,The Creme Brulee Cart,6012827.29795,2116012.84151,37.7908897937244,-122.399494126212,
0,Sunday,12AM,2AM,13MFF-0001,2600 MISSION ST,the South side of 22nd Street 8LF west of Mission St,"Burgers, French Fries, Black Bean Burgers, Mac and Cheese, drinks",417968,13874,00:00,02:00,9124000,09/21/2011 10:53:13 AM,09/21/2011 10:53:48 AM,3636,001,N,Doc's of the Bay,6006981.33762,2103201.28595,37.7553847384504,-122.418811946749,
0,Sunday,12AM,2AM,14MFF-0070,400 05TH ST,@ Harrison & 5th Street 40 LF away from the corner,"Italian subs, cuban sandwich, Gyro",528310,71992,00:00,02:00,302000,03/07/2011 02:26:46 PM,12/23/2011 03:14:50 PM,3760,001,N,Subs on Hubs,6012050.93946,2111691.34343,37.7789806675378,-122.401876399982,
0,Sunday,12AM,3AM,14MFF-0097,1501 FOLSOM ST,,"Tacos, burritos, soda & juice",534668,72518,00:00,03:00,5683000,08/09/2011 09:26:30 AM,01/10/2012 11:20:44 AM,3521,058,N,GOZA GOZA TACO,6008497.59598,2109153.72579,37.771814022357,-122.413989317366,
0,Sunday,12AM,3AM,13MFF-0124,2367 MARKET ST,Truck & trailer parked in front of 2367 Market St,Hot dogs & various beverages,487710,58537,00:00,03:00,8767101,10/21/2013 12:17:57 PM,12/17/2013 03:11:18 PM,3563,036,N,Teresa Hotdogs,6002547.02532,2106081.61235,37.7630427472863,-122.434353042649,
0,Sunday,12AM,3AM,14MFF-0090,2401 MISSION ST,Truck located at 2401 Mission St in the first parking space South of the 20th St and Mission st intersection.,"Hot dogs, Bacon wrapped hot dogs, soda, water, sports drinks, energy drinks, chips",532270,72164,00:00,03:00,9122001,01/25/2012 03:51:17 PM,01/25/2012 04:00:40 PM,3610,029,N,Julie's Hot Dogs,6006956.2555,2104381.41809,37.7586236968811,-122.418982387443,
0,Sunday,12AM,3AM,13MFF-0114,3091 16TH ST,Push cart located on the sidewalk fronting 3091 16th St. a minimum clearance of 6' east from the existing newstand,Pupusas,456842,58373,00:00,03:00,731000,06/25/2013 09:31:03 AM,11/07/2013 02:58:08 PM,3569,049,N,Panchita's No. 2,6006247.97438,2106674.44419,37.7648798999969,-122.421594806498,
0,Sunday,12AM,3AM,11MFF-0171,425 MASON ST,Pushcart located on the sidewalk 30LF North of Derby St.,"kebabs, halal gyro, grilled halal meat, refreshments",338745,6703,00:00,03:00,8805000,11/01/2011 09:55:43 AM,11/01/2011 09:58:04 AM,0306,012,N,"Halal Cart, LLC",6009761.57704,2114850.23167,37.7875261917666,-122.410019320411,
0,Sunday,12AM,3AM,11MFF-0175,901 MARKET ST,Pushcart located on the Market St sidewalk frontage approximately 5LF East of the Western property line.,"Kebab, Halal Gyros, Grilled Halal Meat, Beverages",334914,5779,00:00,03:00,8748101,09/26/2011 01:04:01 PM,09/26/2011 01:05:36 PM,3704,001,N,Halal Cart,6010316.03704,2113536.07269,37.7839488842882,-122.408008279363,
0,Sunday,12PM,6PM,14MFF-0101,2100 MISSION ST,Pushcart located on West side of Mission St. approximately 63 feet south of 17th Street intersection,"Shaved Ice: Tamarind, Strawberry, Lemon, horchata, hibiscus",558549,736453,12:00,18:00,9117000,07/10/2014 08:10:02 AM,07/10/2014 08:12:33 AM,3576,001,N,Raspados El Yocateco,6006819.12132,2106128.74249,37.7634137197851,-122.419580630787,
0,Sunday,12PM,8PM,14MFF-0071,368 FELL ST,30LF east of NE corner of Octavia & Fell,"Artisan Pizzas (Margherita, Yukon Potato, Zoe's Pepperoni, Funghi, Brocolli Rabe, Bacon Kale,  Arugula) and Drinks.",528393,72006,12:00,20:00,5442000,06/23/2011 11:57:57 AM,02/13/2012 11:49:07 AM,0817,032,N,"Casey's Pizza, LLC",6005679.28642,2110688.85634,37.7758704298588,-122.423847229106,
0,Sunday,1PM,4PM,14MFF-0014,34 ELLIS ST,In front of 34 Ellis Street entrance way,Indian Street Food,521808,58818,13:00,16:00,5169000,03/07/2011 10:40:49 AM,01/27/2012 03:21:56 PM,0307,008,N,"VK Industries, Inc.",6010754.54372,2114169.10049,37.7857115703107,-122.406535822182,
0,Sunday,4PM,10PM,14MFF-0103,2355 FOLSOM ST,"Located on the West side of the Harrison St frontage , just South of the Mistral St intersection","Tacos, Burritos, Tortas, Quesadillas, Drinks",547026,736212,16:00,22:00,6752000,03/04/2011 11:54:56 AM,03/04/2011 11:56:28 AM,3593,035,N,El Tonayense #60,6008199.4147947,2104720.12550386,37.7596236343405,-122.414706934828,
0,Sunday,5PM,10PM,13MFF-0112,2142 JERROLD AVE,Set-up at 2100 Jerrold Ave: 5:00pm-9:30pm,"Tacos, Burritos , Tortas, Quesadillas & Beverages",453014,58337,17:00,22:00,7501000,10/25/2011 08:58:59 AM,10/25/2011 08:59:27 AM,5230,011,N,Tacos Santana,6012560.69539,2099100.15603,37.7444364893036,-122.399228839168,
0,Sunday,5PM,8PM,11MFF-0039,333 MARKET ST,Located on the South Wst Corner of Market & Beale.  2nd Yellow Parking Metered Space.,"Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305715,406,17:00,20:00,2863000,03/07/2011 04:06:03 PM,03/07/2011 04:10:56 PM,3710,020,N,Bombay Blvd.,6013387.52482,2116443.46243,37.7921033879545,-122.397585967453,
0,Sunday,5PM,8PM,11MFF-0039,50 MAIN ST,"Located 32' from the pedestrian crosswalk, crossing Main St.","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305709,398,17:00,20:00,8627000,03/07/2011 03:39:16 PM,03/07/2011 04:00:38 PM,3711,018,N,Bombay Blvd.,6013914.11331,2116552.08545,37.7924309489844,-122.395771565795,
0,Sunday,5PM,8PM,11MFF-0040,561 MISSION ST,Yellow Zone,"Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305727,426,17:00,20:00,9090000,03/07/2011 04:27:00 PM,03/07/2011 04:29:04 PM,3721,079,,Bombay Blvd.,6012947.16768,2115156.26681,37.7885445211484,-122.399019231479,
0,Sunday,5PM,8PM,11MFF-0040,86 03RD ST,"Located in the yellow zone, red parking metered spot, third spot.","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305735,440,17:00,20:00,165000,03/07/2011 04:36:55 PM,03/07/2011 04:38:19 PM,3706,093,,Bombay Blvd.,6011984.13271,2114388.83459,37.7863836212372,-122.402297224865,
0,Sunday,5PM,9PM,13MFF-0128,2664 MISSION ST,Truck located ....,"Hot dogs, chips, soda, corn on the cob, french fries",494583,58473,17:00,21:00,9124000,11/04/2013 03:20:24 PM,11/06/2013 11:36:10 AM,3636,009,N,Sinthya's Hot Dogs,6007001.26338,2102843.08426,37.7544023207176,-122.418717635916,
0,Sunday,6AM,12AM,14MFF-0084,1 THE EMBARCADERO,"Northeast Corner of Sacramento & Battery, on Sacramento. 58' East of the intersection.","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530356,72119,06:00,24:00,11222000,09/06/2011 02:23:02 PM,09/06/2011 02:23:17 PM,0230,028,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6015958.31535,2112655.92683,37.7818464873205,-122.388426441806,
